feature,importance
favourites_count,0.37786575144452866
activity_rate,0.17331092991808822
statuses_count,0.15292846506644878
follower_following_ratio,0.08407767308846842
followers_count,0.060735409578729714
tweet_to_followers,0.05006679663416873
engagement_proxy,0.02918245381888811
friends_count,0.025060122423068976
account_age_days,0.024708111180855256
listed_count,0.01129794877175291
name_length,0.00592527890425891
digits_in_name,0.0026868212710643834
has_url,0.002154237899678949
geo_enabled,0.0
default_profile_image,0.0
default_profile,0.0
verified,0.0
has_description,0.0
